 host 	 metric 	 time 	 value 
 host14 	 m1 	 2019-10-19  07:13:41  +0000 	92.0
 host14 	 m1 	 2019-10-19  07:13:41  +0000 	91.0
 host14 	 m1 	 2019-10-19  07:13:42  +0000 	87.0
 host14 	 m1 	 2019-10-19  07:13:42  +0000 	79.0
 host14 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host14 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host14 	 m1 	 2019-10-19  07:13:42  +0000 	77.0
 host14 	 m1 	 2019-10-19  07:13:43  +0000 	75.0
 host14 	 m1 	 2019-10-19  07:13:43  +0000 	76.0
 host14 	 m1 	 2019-10-19  07:13:43  +0000 	76.0
 host14 	 m1 	 2019-10-19  07:13:43  +0000 	79.0
 host14 	 m1 	 2019-10-19  07:13:43  +0000 	81.0
 host14 	 m1 	 2019-10-19  07:13:45  +0000 	37.0
 host60 	 m2 	 2019-10-19  07:13:41  +0000 	1000.0
 host60 	 m2 	 2019-10-19  07:13:41  +0000 	1000.0
 host60 	 m2 	 2019-10-19  07:13:41  +0000 	940.0
 host60 	 m2 	 2019-10-19  07:13:42  +0000 	760.0
 host60 	 m2 	 2019-10-19  07:13:43  +0000 	790.0
 host60 	 m2 	 2019-10-19  07:13:44  +0000 	710.0
 host60 	 m2 	 2019-10-19  07:13:44  +0000 	530.0
 host60 	 m2 	 2019-10-19  07:13:44  +0000 	500.0
 host60 	 m2 	 2019-10-19  07:13:45  +0000 	410.0
 host42 	 m3 	 2019-10-19  07:13:41  +0000 	10200.0
 host42 	 m3 	 2019-10-19  07:13:41  +0000 	9100.0
 host42 	 m3 	 2019-10-19  07:13:41  +0000 	9200.0
 host42 	 m3 	 2019-10-19  07:13:42  +0000 	8800.0
 host42 	 m3 	 2019-10-19  07:13:42  +0000 	7800.0
 host42 	 m3 	 2019-10-19  07:13:43  +0000 	6900.0
 host42 	 m3 	 2019-10-19  07:13:43  +0000 	7000.0
 host42 	 m3 	 2019-10-19  07:13:44  +0000 	5800.0
 host22 	 m3 	 2019-10-19  07:13:42  +0000 	7700.0
 host22 	 m3 	 2019-10-19  07:13:42  +0000 	7400.0
 host22 	 m3 	 2019-10-19  07:13:43  +0000 	7400.0
 host22 	 m3 	 2019-10-19  07:13:43  +0000 	7200.0
 host22 	 m3 	 2019-10-19  07:13:43  +0000 	8200.0
 host22 	 m3 	 2019-10-19  07:13:44  +0000 	5800.0
 host22 	 m3 	 2019-10-19  07:13:45  +0000 	4300.0
 host52 	 m2 	 2019-10-19  07:13:41  +0000 	960.0
 host52 	 m2 	 2019-10-19  07:13:41  +0000 	930.0
 host52 	 m2 	 2019-10-19  07:13:42  +0000 	900.0
 host52 	 m2 	 2019-10-19  07:13:42  +0000 	890.0
 host52 	 m2 	 2019-10-19  07:13:42  +0000 	850.0
 host52 	 m2 	 2019-10-19  07:13:42  +0000 	790.0
 host52 	 m2 	 2019-10-19  07:13:42  +0000 	770.0
 host52 	 m2 	 2019-10-19  07:13:42  +0000 	750.0
 host52 	 m2 	 2019-10-19  07:13:43  +0000 	810.0
