timestamp,host,metric,value
1704067200,web01,cpu_percent,45.2
1704067200,web01,memory_percent,62.5
1704067200,web01,disk_io_read_mbps,125.3
1704067200,web01,disk_io_write_mbps,89.7
1704067200,web01,network_rx_mbps,850.5
1704067200,web01,network_tx_mbps,420.8
1704067260,web01,cpu_percent,48.5
1704067260,web01,memory_percent,63.2
1704067260,web01,disk_io_read_mbps,132.1
1704067260,web01,disk_io_write_mbps,92.3
1704067260,web01,network_rx_mbps,875.2
1704067260,web01,network_tx_mbps,435.6
1704067320,web01,cpu_percent,52.1
1704067320,web01,memory_percent,64.8
1704067320,web01,disk_io_read_mbps,145.7
1704067320,web01,disk_io_write_mbps,98.5
1704067320,web01,network_rx_mbps,920.3
1704067320,web01,network_tx_mbps,458.9
1704067200,db01,cpu_percent,78.5
1704067200,db01,memory_percent,85.3
1704067200,db01,disk_io_read_mbps,520.8
1704067200,db01,disk_io_write_mbps,380.5
1704067200,db01,query_rate_qps,1250.5
1704067200,db01,connection_count,450
1704067260,db01,cpu_percent,82.3
1704067260,db01,memory_percent,86.1
1704067260,db01,disk_io_read_mbps,545.2
1704067260,db01,disk_io_write_mbps,395.8
1704067260,db01,query_rate_qps,1320.8
1704067260,db01,connection_count,465
1704067320,db01,cpu_percent,85.8
1704067320,db01,memory_percent,87.5
1704067320,db01,disk_io_read_mbps,575.6
1704067320,db01,disk_io_write_mbps,415.3
1704067320,db01,query_rate_qps,1405.2
1704067320,db01,connection_count,482
